prior disorder,later disorder,tso,failure,stderr,newf,newf_low,newf_high,model
AGO,Dysthymia,17,0.0861,0.000906,8.966026898,8.772521118,9.159532679,F
AGO,Dysthymia,18,0.0909,0.000941,9.494352912,9.292215697,9.696490128,F
AGO,Dysthymia,19,0.0949,0.000971,9.930480964,9.720978191,10.13998374,F
AGO,Dysthymia,20,0.0982,0.000996,10.29916908,10.08333784,10.51500032,F
AGO,Dysthymia,21,0.1008,0.00102,10.58255199,10.36171022,10.80339376,F
AGO,Dysthymia,22,0.1019,0.00103,10.71283819,10.48958924,10.93608714,F
AGO,Dysthymia,23,0.1043,0.00105,10.97934693,10.75093457,11.20775928,F
AGO,Dysthymia,24,0.1073,0.00107,11.30479503,11.06982974,11.53976031,F
AGO,Dysthymia,25,0.1088,0.00109,11.47607535,11.23760931,11.71454138,F
AGO,Dysthymia,26,0.1161,0.00115,12.29334882,12.03811699,12.54858064,F
AGO,Dysthymia,28,0.1196,0.00119,12.68861766,12.42456278,12.95267254,F
AGO,Dysthymia,30,0.1203,0.0012,12.77643473,12.51023099,13.04263847,F
AGO,Dysthymia,34,0.1222,0.00123,12.99373341,12.72093091,13.26653591,F
AGO,Dysthymia,36,0.1246,0.00126,13.25927995,12.97759487,13.54096503,F
AGO,Dysthymia,37,0.1272,0.00131,13.56074421,13.26820207,13.85328634,F
AGO,Dysthymia,38,0.1327,0.0014,14.18459306,13.86865007,14.50053604,F
AGO,Dysthymia,39,0.1354,0.00145,14.49755212,14.16968213,14.82542211,F
AGO,Dysthymia,40,0.1388,0.00151,14.89476466,14.55106072,15.2384686,F
AGO,Dysthymia,41,0.144,0.00161,15.49934218,15.13212484,15.86655951,F
AGO,Dysthymia,43,0.1522,0.00176,16.45361983,16.04708706,16.8601526,F
AGO,Dysthymia,53,0.1667,0.00239,18.16892391,17.61029941,18.7275484,F
AGO,Dysthymia,57,0.1915,0.00364,21.14581384,20.27403077,22.01759691,F
AGO,Dysthymia,1,0.0217,0.000617,2.167554862,2.045320671,2.289789053,M
AGO,Dysthymia,2,0.0264,0.00068,2.653742295,2.518020539,2.789464051,M
AGO,Dysthymia,3,0.0298,0.000722,2.998445108,2.853730672,3.143159545,M
AGO,Dysthymia,4,0.031,0.000738,3.125318473,2.977303333,3.273333612,M
AGO,Dysthymia,8,0.0334,0.000771,3.370057723,3.214948205,3.525167241,M
AGO,Dysthymia,9,0.0429,0.000893,4.350565976,4.168962071,4.532169882,M
AGO,Dysthymia,12,0.0496,0.000981,5.054075279,4.853060474,5.255090083,M
AGO,Dysthymia,18,0.0588,0.00112,6.016696514,5.784661863,6.248731166,M
AGO,Dysthymia,19,0.0614,0.00116,6.30329605,6.062247883,6.544344217,M
AGO,Dysthymia,20,0.0695,0.00127,7.165640349,6.898563669,7.432717028,M
AGO,Dysthymia,22,0.0756,0.00136,7.81889581,7.532213514,8.105578107,M
AGO,Dysthymia,24,0.0791,0.00141,8.194542885,7.896553616,8.492532155,M
AGO,Dysthymia,27,0.0814,0.00144,8.445672971,8.138782915,8.752563027,M
AGO,Dysthymia,28,0.0886,0.00156,9.233305957,8.898691914,9.567920001,M
AGO,Dysthymia,29,0.0985,0.00171,10.31386785,9.943886721,10.68384898,M
AGO,Dysthymia,31,0.1081,0.00188,11.37867557,10.96852711,11.78882403,M
AGO,Dysthymia,33,0.1126,0.00195,11.87909966,11.44953319,12.30866613,M
AGO,Dysthymia,35,0.1182,0.00206,12.5116471,12.0557781,12.9675161,M
AGO,Dysthymia,36,0.1235,0.00216,13.12072232,12.63950648,13.60193816,M
AGO,Dysthymia,38,0.1349,0.00239,14.41173263,13.87292822,14.95053703,M
AGO,Dysthymia,39,0.1361,0.00242,14.56139588,14.0159778,15.10681396,M
